NDTI_p0_peak,NDTI_p100_peak,NDTI_p25_peak,NDTI_p50_peak,NDTI_p75_peak
0.074340664,0.2031966,0.11267613,0.12983753,0.19596586
0.0964286,0.27419856,0.15481041,0.20239064,0.25378913
0.079132795,0.20002598,0.11806674,0.14359578,0.19573808
0.07218058,0.19499055,0.10790146,0.124034844,0.17062306
0.074340664,0.2031966,0.11267613,0.12983753,0.19596586
0.07704584,0.19060126,0.1101774,0.12050101,0.16968611
0.0754794,0.23396339,0.13715579,0.17745796,0.20832713
0.07524832,0.1859611,0.11667068,0.12784041,0.17239541
0.079132795,0.20002598,0.11806674,0.14359578,0.19573808
0.074340664,0.2031966,0.11267613,0.12983753,0.19596586
0.07771055,0.23075107,0.089504555,0.14515121,0.22171001
0.07771055,0.23075107,0.089504555,0.14515121,0.22171001
0.07771055,0.23075107,0.089504555,0.14515121,0.22171001
0.07771055,0.23075107,0.089504555,0.14515121,0.22171001
0.077880934,0.20687903,0.0898769,0.13551855,0.18523952
0.077880934,0.20687903,0.0898769,0.13551855,0.18523952
0.10017287,0.29633164,0.14526972,0.21880414,0.27359504
0.13021374,0.2520039,0.1443772,0.15790345,0.20566563
0.10833578,0.2806355,0.13880965,0.21479364,0.27512833
0.11125066,0.27046368,0.1440811,0.20660853,0.2588398
0.101422645,0.28111875,0.14383872,0.20745513,0.2612509
0.11125066,0.27046368,0.1440811,0.20660853,0.2588398
0.10017287,0.29633164,0.14526972,0.21880414,0.27359504
0.10833578,0.2806355,0.13880965,0.21479364,0.27512833
0.110579886,0.29629382,0.14325795,0.20380528,0.2579344
0.10870162,0.30997348,0.15146776,0.22526397,0.29477817
0.093053706,0.16096091,0.13470739,0.14297386,0.15480833
0.100987375,0.21019976,0.13162777,0.1548231,0.18762492
0.09442916,0.32422364,0.13615137,0.2147974,0.25376058
0.083248675,0.2817497,0.11349253,0.18155673,0.22768742
0.113849275,0.23144542,0.13166526,0.16152708,0.19650467
0.11055002,0.2771885,0.1219715,0.15830587,0.20449261
0.1022575,0.3126042,0.1436339,0.19841343,0.25019655
0.09137696,0.25405467,0.12419533,0.17040128,0.20548585
0.09137696,0.25405467,0.12419533,0.17040128,0.20548585
0.0997185,0.25168708,0.12129602,0.16242485,0.19271533
0.083248675,0.2817497,0.11349253,0.18155673,0.22768742
0.1294574,0.3566302,0.16792998,0.2546557,0.30951566
